Sales Title,Location/Distance (Miles),Price (£),Mileage,Year,Fuel Type,Transmissions,Colour,Number of Doors,Engine Size,Number of Reviews,Rating,Body Type,CO2 Emissions (g/km)
Renault Clio 1.5L Dynamique S Nav dCi,2,8449,60059,2017,Diesel,Manual,White,5,1.5 L,115,4,Hatchback,85
Peugeot 208 1.2L Active Design PureTech,2,8549,42029,2016,Petrol,Manual,Blue,3,1.2 L,24,4.5,Hatchback,104
Fiat 500X 1.6L Pop Star MultiJetII,2,8549,32474,2015,Diesel,Manual,Red,5,1.6 L,44,4.5,Suv,109
Nissan Leaf Visia,2,8599,22148,2016,Electric,Automatic,White,5,N/A,7,4.5,Hatchback,0
Ford EcoSport 1L Zetec EcoBoost T,2,8699,26814,2016,Petrol,Manual,Yellow,5,1.0 L,3,4.5,Suv,125
Ssangyong Tivoli 1.6L ELX e-XDi,2,8749,68569,2016,Diesel,Manual,Black,5,1.6 L,0,N/A,Suv,113
Dacia Sandero Stepway 1.5L Comfort Blue dCi,2,8799,74948,2019,Petrol,Manual,Black,5,1.5 L,15,4,Hatchback,103
Ford Fiesta 1L Titanium EcoBoost T,2,8949,62733,2017,Petrol,Manual,Black,5,1.0 L,373,4,Hatchback,99
Seat Ibiza 1L Vista,2,8999,28487,2015,Petrol,Manual,Blue,3,1.0 L,47,4,Hatchback,118
Vauxhall Insignia 2L SRi Nav CDTi,2,8999,64152,2016,Diesel,Manual,Black,5,2.0 L,96,4.5,Hatchback,118
Vauxhall Insignia 1.4L SRi i Turbo,2,9049,42823,2015,Petrol,Manual,Silver,5,1.4 L,96,4.5,Hatchback,129
Nissan Leaf Tekna,2,9049,46520,2015,Electric,Automatic,White,5,N/A,7,4.5,Hatchback,0
Vauxhall Corsa 1.4L SRi ecoTEC i,2,9099,38492,2018,Petrol,Manual,Red,5,1.4 L,268,4,Hatchback,118
Seat Toledo 1L XCELLENCE TSI,2,9149,60278,2017,Petrol,Manual,Silver,5,1.0 L,3,4,Hatchback,106
Fiat 500 1.2L Lounge,2,9149,36851,2018,Petrol,Manual,Red,3,1.2 L,44,4.5,Hatchback,110
Peugeot 208 1.2L Tech Edition PureTech,2,9149,64001,2019,Petrol,Manual,Silver,5,1.2 L,24,4.5,Hatchback,110
Jeep Renegade 1.6L Limited MultiJetII,2,9199,62917,2016,Diesel,Manual,Red,5,1.6 L,0,N/A,Suv,115
Toyota AYGO 1L x-play VVT-i,2,9249,40862,2018,Petrol,Manual,Red,5,1.0 L,41,4,Hatchback,93
Skoda Fabia 1.2L SE TSI,2,9249,42538,2016,Petrol,Manual,Blue,5,1.2 L,153,4,Hatchback,107
Vauxhall Corsa 1.4L Energy ecoTEC i,2,9299,32860,2018,Petrol,Manual,Black,3,1.4 L,268,4,Hatchback,130
Peugeot 2008 1.6L Allure BlueHDi,2,9299,60818,2016,Diesel,Manual,Red,5,1.6 L,14,4.5,Suv,97
Renault Captur 0.9L Dynamique Nav TCe ENERGY,2,9349,56941,2016,Petrol,Manual,Black,5,0.9 L,9,4.5,Suv,114
Nissan Micra 1.5L Acenta dCi,2,9349,20590,2017,Diesel,Manual,Silver,5,1.5 L,114,4,Hatchback,85
Vauxhall Corsa 1.4L Energy ecoFLEX i,2,9399,14198,2017,Petrol,Manual,Red,3,1.4 L,268,4,Hatchback,118
Ford Fiesta 1L Zetec EcoBoost T,2,9399,40747,2016,Petrol,Manual,Black,5,1.0 L,373,4,Hatchback,99
Hyundai i10 1L SE,2,9399,12943,2018,Petrol,Manual,Blue,5,1.0 L,58,4,Hatchback,117
Ford Fiesta 1.2L Zetec,2,9399,10682,2016,Petrol,Manual,Silver,3,1.2 L,373,4,Hatchback,122
Fiat 500 1.2L Lounge,2,9449,16473,2019,Petrol,Manual,Red,3,1.2 L,44,4.5,Hatchback,114
Vauxhall ADAM 1.2L ENERGISED ecoFLEX i,2,9449,32647,2017,Petrol,Manual,White,3,1.2 L,3,4.5,Hatchback,125
Fiat 500 1.2L S,2,9449,32168,2019,Petrol,Manual,Grey,3,1.2 L,44,4.5,Hatchback,122
Kia Rio 1.2L SR7,2,9499,22345,2016,Petrol,Manual,White,3,1.2 L,44,4,Hatchback,115
Fiat 500 1.2L Collezione Fall,2,9499,32998,2018,Petrol,Manual,Grey,3,1.2 L,44,4.5,Hatchback,110
Vauxhall Astra 1.6L Tech Line ecoFLEX CDTi,2,9499,50523,2017,Diesel,Manual,Grey,5,1.6 L,368,4,Hatchback,88
Ford EcoSport 1L Titanium EcoBoost T,2,9499,34814,2016,Petrol,Manual,Yellow,5,1.0 L,3,4.5,Suv,125
Fiat 500 1.2L S,2,9499,22321,2017,Petrol,Manual,Grey,3,1.2 L,44,4.5,Hatchback,110
Renault Clio 1.5L Dynamique S Nav dCi,2,9549,44621,2016,Diesel,Manual,White,5,1.5 L,115,4,Hatchback,85
Nissan Leaf Acenta,2,9549,34428,2016,Electric,Automatic,Silver,5,N/A,7,4.5,Hatchback,0
Toyota AYGO 1L x-play VVT-i,2,9599,16735,2018,Petrol,Manual,White,5,1.0 L,41,4,Hatchback,95
Vauxhall Mokka X 1.6L Active i,2,9599,44208,2016,Petrol,Manual,Blue,5,1.6 L,32,4.5,Suv,155
Peugeot 208 1.2L Tech Edition PureTech,2,9599,54652,2019,Petrol,Manual,Purple,5,1.2 L,24,4.5,Hatchback,110
Vauxhall Astra 1.4L SRi i,2,9649,48039,2016,Petrol,Manual,Silver,5,1.4 L,368,4,Hatchback,128
Fiat 500 1.2L Lounge,2,9649,10632,2018,Petrol,Manual,Grey,3,1.2 L,44,4.5,Hatchback,110
Vauxhall Corsa 1.4L Energy ecoTEC i,2,9699,26745,2018,Petrol,Manual,Blue,3,1.4 L,268,4,Hatchback,131
Fiat 500 1.2L Lounge,2,9699,44173,2018,Petrol,Manual,Green,3,1.2 L,44,4.5,Hatchback,116
Vauxhall Corsa 1.4L Griffin ecoTEC i,2,9699,24987,2019,Petrol,Manual,Silver,3,1.4 L,268,4,Hatchback,128
Smart fortwo 1L Prime,2,9749,38489,2016,Petrol,Automatic,White,2,1.0 L,26,4.5,Coupe,94
Ford Fiesta 1L ST-Line EcoBoost T,2,9749,42108,2016,Petrol,Manual,Red,3,1.0 L,373,4,Hatchback,104
Hyundai i10 1L Play,2,9799,24379,2019,Petrol,Manual,Grey,5,1.0 L,58,4,Hatchback,117
Renault Clio 0.9L Dynamique S Nav TCe,2,9849,50798,2018,Petrol,Manual,Red,5,0.9 L,115,4,Hatchback,105
Hyundai i20 1.4L SE,2,9849,20116,2016,Petrol,Manual,Grey,5,1.4 L,54,4.5,Hatchback,122
Peugeot 2008 1.6L Allure BlueHDi,2,9849,46179,2016,Diesel,Manual,Black,5,1.6 L,14,4.5,Suv,96
